epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	NaN	1.383	0.529	0.527	0.529	0.528	42.289	0.525	0.989
2	NaN	1.382	0.532	0.53	0.535	0.534	42.268	0.533	0.989
3	NaN	1.382	0.533	0.53	0.537	0.538	42.207	0.536	0.989
4	NaN	1.382	0.533	0.53	0.528	0.528	42.154	0.526	0.989
5	NaN	1.381	0.535	0.533	0.54	0.541	42.156	0.538	0.989
6	NaN	1.377	0.536	0.533	0.53	0.531	42.12	0.528	0.988
7	NaN	1.367	0.539	0.535	0.524	0.526	42.038	0.524	0.988
8	NaN	1.362	0.543	0.539	0.539	0.542	42.142	0.538	0.987
9	NaN	1.355	0.544	0.54	0.543	0.549	42.144	0.544	0.987
10	NaN	1.353	0.546	0.542	0.536	0.542	42.022	0.538	0.986
11	NaN	1.35	0.546	0.543	0.527	0.533	42.009	0.528	0.986
12	NaN	1.35	0.543	0.54	0.551	0.558	42.048	0.553	0.986
13	NaN	1.343	0.548	0.544	0.54	0.546	42.06	0.541	0.985
14	NaN	1.346	0.546	0.542	0.542	0.549	42.039	0.544	0.986
15	NaN	1.344	0.548	0.544	0.54	0.547	42.044	0.543	0.986
16	NaN	1.343	0.544	0.541	0.546	0.552	42.024	0.548	0.985
17	NaN	1.338	0.548	0.544	0.528	0.532	42.025	0.528	0.985
18	NaN	1.342	0.546	0.542	0.534	0.537	42.051	0.533	0.985
19	NaN	1.34	0.548	0.545	0.531	0.536	42.005	0.531	0.987
20	NaN	1.344	0.55	0.546	0.54	0.546	42.058	0.541	0.984
21	NaN	1.337	0.549	0.545	0.553	0.562	42.066	0.555	0.985
22	NaN	1.335	0.551	0.547	0.537	0.542	41.992	0.537	0.983
23	NaN	1.333	0.554	0.55	0.551	0.56	42.041	0.554	0.985
24	NaN	1.326	0.555	0.552	0.559	0.57	42.035	0.56	0.983
25	NaN	1.315	0.562	0.558	0.562	0.57	42.071	0.563	0.98
26	NaN	1.294	0.569	0.567	0.554	0.563	42.09	0.556	0.978
27	NaN	1.263	0.585	0.585	0.587	0.598	42.104	0.59	0.976
28	NaN	1.227	0.598	0.6	0.613	0.623	42.088	0.613	0.972
29	NaN	1.189	0.615	0.616	0.617	0.629	42.134	0.619	0.966
30	NaN	1.152	0.626	0.628	0.618	0.632	42.141	0.622	0.968
31	NaN	1.116	0.637	0.639	0.626	0.641	42.152	0.633	0.966
32	NaN	1.091	0.642	0.645	0.612	0.626	42.129	0.617	0.963
33	NaN	1.053	0.659	0.66	0.651	0.67	42.146	0.661	0.963
34	NaN	1.035	0.665	0.667	0.629	0.649	42.132	0.629	0.96
35	NaN	1.005	0.677	0.681	0.685	0.706	42.121	0.695	0.964
36	NaN	0.968	0.693	0.697	0.641	0.662	42.132	0.632	0.958
37	NaN	0.936	0.703	0.709	0.698	0.719	42.12	0.706	0.962
38	NaN	0.905	0.714	0.72	0.699	0.727	42.124	0.713	0.956
39	NaN	0.877	0.725	0.731	0.721	0.742	42.113	0.73	0.959
40	NaN	0.858	0.736	0.742	0.734	0.761	42.129	0.744	0.957
41	NaN	0.815	0.751	0.76	0.756	0.782	42.111	0.765	0.959
42	NaN	0.793	0.762	0.769	0.76	0.786	42.13	0.763	0.955
43	NaN	0.752	0.773	0.782	0.757	0.783	42.168	0.757	0.96
44	NaN	0.716	0.789	0.8	0.767	0.793	42.13	0.758	0.956
45	NaN	0.7	0.798	0.809	0.805	0.834	42.145	0.81	0.955
46	NaN	0.659	0.815	0.829	0.811	0.839	42.158	0.799	0.96
47	NaN	0.653	0.824	0.838	0.85	0.873	42.141	0.846	0.956
48	NaN	0.586	0.844	0.861	0.865	0.888	42.189	0.857	0.957
49	NaN	0.543	0.857	0.873	0.835	0.861	42.163	0.818	0.952
50	NaN	0.514	0.865	0.881	0.865	0.895	42.185	0.862	0.954
51	NaN	0.5	0.869	0.886	0.85	0.876	42.224	0.834	0.958
52	NaN	0.477	0.877	0.894	0.845	0.874	42.144	0.831	0.958
53	NaN	0.541	0.86	0.879	0.875	0.907	42.149	0.867	0.953
54	NaN	0.469	0.879	0.898	0.871	0.9	42.144	0.857	0.95
55	NaN	0.446	0.884	0.901	0.857	0.888	42.147	0.845	0.95
56	NaN	0.421	0.89	0.908	0.859	0.889	42.159	0.834	0.954
57	NaN	0.41	0.894	0.913	0.895	0.922	42.125	0.887	0.952
58	NaN	0.39	0.899	0.916	0.903	0.927	42.165	0.892	0.954
59	NaN	0.422	0.89	0.91	0.875	0.913	42.195	0.868	0.957
60	NaN	0.386	0.899	0.919	0.904	0.928	42.194	0.893	0.953
61	NaN	0.352	0.909	0.929	0.901	0.926	42.157	0.884	0.952
62	NaN	0.345	0.911	0.932	0.908	0.935	42.186	0.898	0.951
63	NaN	0.34	0.915	0.935	0.905	0.929	42.2	0.884	0.958
64	NaN	0.343	0.915	0.938	0.852	0.875	42.183	0.808	0.952
65	NaN	0.318	0.921	0.945	0.938	0.963	42.194	0.927	0.949
66	NaN	0.289	0.93	0.954	0.926	0.953	42.199	0.908	0.95
67	NaN	0.29	0.928	0.953	0.929	0.954	42.15	0.911	0.95
68	NaN	0.306	0.925	0.95	0.929	0.951	42.176	0.911	0.95
69	NaN	0.268	0.935	0.959	0.951	0.972	42.185	0.942	0.95
70	NaN	0.256	0.938	0.962	0.924	0.949	42.207	0.897	0.95
71	NaN	0.259	0.938	0.962	0.934	0.952	42.201	0.904	0.95
72	NaN	0.25	0.939	0.963	0.94	0.963	42.195	0.921	0.946
73	NaN	0.247	0.939	0.963	0.95	0.971	42.192	0.937	0.946
74	NaN	0.233	0.944	0.968	0.941	0.967	42.188	0.921	0.948
75	NaN	0.237	0.942	0.968	0.93	0.954	42.215	0.898	0.95
76	NaN	0.216	0.947	0.973	0.937	0.963	42.198	0.909	0.947
77	NaN	0.219	0.945	0.972	0.935	0.956	42.229	0.904	0.951
78	NaN	0.221	0.947	0.972	0.929	0.953	42.202	0.894	0.951
79	NaN	0.217	0.946	0.972	0.921	0.946	42.183	0.879	0.948
80	NaN	0.188	0.954	0.979	0.915	0.945	42.215	0.888	0.953
81	NaN	0.202	0.952	0.979	0.937	0.962	42.191	0.906	0.949
82	NaN	0.19	0.954	0.981	0.962	0.985	42.213	0.949	0.951
83	NaN	0.305	0.926	0.957	0.938	0.964	42.187	0.915	0.949
84	NaN	0.215	0.947	0.975	0.955	0.978	42.174	0.932	0.948
85	NaN	0.196	0.952	0.979	0.963	0.984	42.191	0.946	0.95
86	NaN	0.203	0.95	0.977	0.972	0.988	42.159	0.955	0.949
87	NaN	0.178	0.955	0.982	0.967	0.986	42.185	0.948	0.948
88	NaN	0.174	0.957	0.983	0.969	0.986	42.185	0.946	0.945
89	NaN	0.171	0.956	0.983	0.962	0.982	42.195	0.944	0.948
90	NaN	0.167	0.957	0.982	0.969	0.985	42.194	0.945	0.947
91	NaN	0.2	0.949	0.977	0.96	0.977	42.177	0.926	0.946
92	NaN	0.183	0.953	0.98	0.952	0.975	42.198	0.925	0.95
93	NaN	0.164	0.957	0.984	0.962	0.98	42.171	0.937	0.947
94	NaN	0.176	0.955	0.982	0.955	0.977	42.183	0.931	0.947
95	NaN	0.161	0.959	0.985	0.962	0.982	42.186	0.938	0.948
96	NaN	0.176	0.954	0.981	0.974	0.99	42.175	0.958	0.946
97	NaN	0.161	0.959	0.984	0.889	0.912	42.221	0.833	0.953
98	NaN	0.181	0.953	0.982	0.97	0.986	42.191	0.946	0.944
