epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	-0.766	1.338	0.5	0.5	0.497	0.496	44.777	0.496	0.986
2	-0.757	1.425	0.505	0.505	0.501	0.501	44.466	0.501	0.99
3	-0.716	1.449	0.5	0.5	0.5	0.5	42.06	0.501	0.989
4	-0.696	1.447	0.5	0.5	0.5	0.5	42.096	0.5	0.99
5	-0.697	1.448	0.5	0.5	0.5	0.502	42.061	0.501	0.989
6	-0.695	1.444	0.501	0.501	0.5	0.5	42.472	0.499	0.989
7	-0.683	1.448	0.508	0.507	0.523	0.523	43.328	0.522	0.99
8	-0.694	1.445	0.528	0.528	0.525	0.524	42.839	0.523	0.99
9	-0.697	1.444	0.534	0.531	0.535	0.536	42.774	0.534	0.989
10	-0.7	1.441	0.534	0.531	0.537	0.538	42.642	0.535	0.989
11	-0.705	1.438	0.537	0.534	0.546	0.548	42.739	0.545	0.989
12	-0.71	1.432	0.541	0.537	0.54	0.543	42.522	0.54	0.988
13	-0.724	1.427	0.543	0.539	0.544	0.548	42.624	0.544	0.989
14	-0.729	1.427	0.545	0.54	0.545	0.549	42.795	0.546	0.989
15	-0.731	1.426	0.545	0.542	0.546	0.55	42.682	0.547	0.989
16	-0.733	1.426	0.545	0.54	0.544	0.548	42.646	0.545	0.988
17	-0.736	1.425	0.547	0.541	0.543	0.546	42.654	0.543	0.988
18	-0.739	1.423	0.546	0.541	0.544	0.547	42.688	0.544	0.988
19	-0.74	1.424	0.545	0.54	0.547	0.552	42.636	0.55	0.988
20	-0.741	1.423	0.547	0.543	0.551	0.555	42.596	0.552	0.988
21	-0.743	1.423	0.546	0.542	0.547	0.553	42.581	0.549	0.988
22	-0.743	1.423	0.547	0.541	0.546	0.55	42.563	0.545	0.988
23	-0.745	1.421	0.546	0.541	0.546	0.551	42.457	0.547	0.988
24	-0.749	1.422	0.545	0.54	0.55	0.554	42.545	0.549	0.988
25	-0.748	1.421	0.548	0.544	0.547	0.552	42.566	0.547	0.988
26	-0.751	1.421	0.548	0.543	0.55	0.554	42.609	0.549	0.988
27	-0.751	1.422	0.545	0.541	0.532	0.536	42.316	0.533	0.987
28	-0.751	1.422	0.547	0.542	0.55	0.554	42.492	0.551	0.988
29	-0.756	1.422	0.548	0.543	0.545	0.548	42.397	0.545	0.987
30	-0.76	1.422	0.548	0.543	0.546	0.55	42.46	0.547	0.988
31	-0.767	1.424	0.548	0.543	0.545	0.547	42.331	0.544	0.987
