epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	NaN	1.381	0.529	0.528	0.535	0.536	42.034	0.533	0.989
2	NaN	1.376	0.539	0.536	0.535	0.536	42.007	0.532	0.989
3	NaN	1.374	0.539	0.536	0.533	0.533	41.997	0.532	0.989
4	NaN	1.374	0.536	0.534	0.532	0.529	42.002	0.526	0.989
5	NaN	1.372	0.54	0.537	0.525	0.525	41.99	0.522	0.989
6	NaN	1.372	0.541	0.537	0.532	0.532	41.987	0.529	0.989
7	NaN	1.372	0.54	0.537	0.534	0.534	41.991	0.531	0.989
8	NaN	1.37	0.542	0.539	0.534	0.534	41.981	0.53	0.989
9	NaN	1.373	0.536	0.533	0.521	0.522	41.977	0.52	0.988
10	NaN	1.37	0.536	0.534	0.517	0.517	41.967	0.516	0.988
11	NaN	1.368	0.534	0.532	0.524	0.523	41.973	0.521	0.988
12	NaN	1.369	0.53	0.527	0.521	0.519	41.97	0.518	0.989
13	NaN	1.365	0.52	0.519	0.52	0.52	41.961	0.52	0.989
14	NaN	1.363	0.519	0.518	0.517	0.518	41.951	0.514	0.989
15	NaN	1.36	0.52	0.519	0.507	0.507	41.957	0.507	0.989
16	NaN	1.358	0.521	0.519	0.514	0.514	41.963	0.512	0.989
17	NaN	1.357	0.52	0.52	0.514	0.514	41.95	0.512	0.989
18	NaN	1.355	0.52	0.519	0.516	0.519	41.948	0.517	0.989
19	NaN	1.355	0.519	0.518	0.511	0.51	41.946	0.509	0.989
20	NaN	1.354	0.52	0.517	0.512	0.512	41.947	0.511	0.99
21	NaN	1.352	0.522	0.52	0.517	0.517	41.946	0.517	0.989
22	NaN	1.352	0.52	0.519	0.516	0.515	41.945	0.515	0.989
23	NaN	1.352	0.521	0.521	0.51	0.512	41.943	0.509	0.989
24	NaN	1.351	0.519	0.517	0.521	0.521	41.946	0.518	0.989
25	NaN	1.35	0.52	0.519	0.511	0.511	41.945	0.511	0.989
26	NaN	1.35	0.521	0.518	0.517	0.518	41.945	0.518	0.99
27	NaN	1.35	0.519	0.518	0.516	0.516	41.949	0.515	0.99
28	NaN	1.35	0.522	0.522	0.51	0.51	41.955	0.51	0.989
29	NaN	1.35	0.521	0.519	0.512	0.51	41.944	0.509	0.989
30	NaN	1.35	0.525	0.525	0.516	0.516	41.943	0.517	0.989
31	NaN	1.349	0.52	0.52	0.507	0.506	41.949	0.504	0.99
32	NaN	1.348	0.518	0.519	0.513	0.513	41.943	0.512	0.989
33	NaN	1.347	0.524	0.522	0.51	0.509	41.95	0.509	0.989
34	NaN	1.349	0.522	0.521	0.51	0.511	41.944	0.51	0.989
35	NaN	1.348	0.521	0.519	0.521	0.519	41.943	0.518	0.989
36	NaN	1.347	0.521	0.521	0.52	0.52	41.943	0.518	0.989
37	NaN	1.347	0.523	0.52	0.518	0.519	41.941	0.519	0.989
38	NaN	1.345	0.521	0.52	0.52	0.519	41.942	0.518	0.989
39	NaN	1.346	0.521	0.521	0.517	0.517	41.941	0.518	0.99
40	NaN	1.346	0.522	0.52	0.52	0.52	41.941	0.52	0.989
41	NaN	1.346	0.523	0.523	0.521	0.522	41.942	0.521	0.989
42	NaN	1.346	0.52	0.52	0.508	0.505	41.942	0.505	0.989
