epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
1	1.382	0.537	0.535	0.535	42.417	0.99
2	1.377	0.547	0.542	0.543	42.472	0.99
3	1.376	0.547	0.543	0.555	42.475	0.99
4	1.376	0.548	0.545	0.543	42.435	0.99
5	1.376	0.545	0.542	0.55	42.27	0.988
6	1.367	0.555	0.551	0.56	42.295	0.989
7	1.362	0.553	0.549	0.551	42.34	0.988
8	1.357	0.557	0.551	0.563	42.362	0.988
9	1.353	0.558	0.554	0.564	42.28	0.988
10	1.349	0.558	0.553	0.572	42.266	0.987
11	1.346	0.561	0.555	0.559	42.227	0.988
12	1.342	0.562	0.557	0.571	42.218	0.987
13	1.339	0.565	0.56	0.57	42.211	0.987
14	1.329	0.568	0.563	0.579	42.196	0.987
15	1.328	0.571	0.564	0.563	42.17	0.987
16	1.322	0.571	0.564	0.588	42.162	0.986
17	1.319	0.572	0.567	0.587	42.297	0.987
18	1.317	0.574	0.568	0.56	42.196	0.986
19	1.31	0.575	0.569	0.564	42.189	0.987
20	1.309	0.577	0.571	0.585	42.173	0.986
21	1.306	0.575	0.57	0.581	42.262	0.986
22	1.304	0.579	0.573	0.578	42.14	0.986
23	1.305	0.577	0.571	0.585	42.167	0.986
24	1.294	0.583	0.578	0.598	42.266	0.986
25	1.293	0.585	0.579	0.588	42.245	0.986
26	1.294	0.582	0.575	0.609	42.265	0.986
27	1.289	0.584	0.578	0.59	42.278	0.986
28	1.291	0.587	0.58	0.601	42.31	0.986
29	1.289	0.587	0.581	0.559	42.171	0.985
30	1.286	0.587	0.581	0.604	42.177	0.984
31	1.278	0.589	0.583	0.592	42.185	0.984
32	1.282	0.59	0.583	0.606	42.19	0.985
33	1.272	0.592	0.585	0.613	42.209	0.985
34	1.273	0.59	0.585	0.58	42.213	0.984
35	1.267	0.597	0.59	0.597	42.226	0.984
36	1.268	0.594	0.586	0.611	42.211	0.985
37	1.264	0.595	0.59	0.613	42.236	0.983
38	1.261	0.597	0.59	0.594	42.143	0.983
39	1.249	0.6	0.594	0.589	42.208	0.982
40	1.24	0.607	0.601	0.612	42.216	0.981
41	1.239	0.609	0.603	0.612	42.166	0.982
42	1.218	0.616	0.611	0.645	42.205	0.98
43	1.212	0.618	0.614	0.612	42.171	0.977
44	1.2	0.621	0.617	0.645	42.38	0.979
45	1.187	0.628	0.624	0.651	42.263	0.978
46	1.173	0.633	0.631	0.605	42.186	0.979
47	1.153	0.645	0.644	0.665	42.222	0.979
48	1.131	0.653	0.653	0.656	42.248	0.975
49	1.109	0.662	0.662	0.688	42.181	0.975
50	1.083	0.675	0.677	0.703	42.305	0.973
51	1.058	0.68	0.682	0.708	42.257	0.97
52	1.028	0.691	0.693	0.725	42.33	0.972
53	1.008	0.696	0.699	0.726	42.298	0.972
54	0.986	0.704	0.707	0.726	42.326	0.972
55	0.965	0.715	0.717	0.721	42.352	0.965
56	0.939	0.728	0.732	0.761	42.625	0.97
57	0.915	0.741	0.746	0.759	42.3	0.965
58	0.891	0.753	0.758	0.774	42.347	0.971
59	0.86	0.763	0.768	0.771	42.608	0.969
60	0.838	0.771	0.777	0.787	42.371	0.97
61	0.812	0.78	0.787	0.765	42.575	0.97
