epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	NaN	1.382	0.533	0.527	0.523	0.523	42.32	0.518	0.99
2	NaN	1.377	0.547	0.542	0.554	0.557	42.258	0.552	0.989
3	NaN	1.376	0.549	0.545	0.549	0.55	42.305	0.546	0.989
4	NaN	1.369	0.549	0.545	0.557	0.557	42.149	0.552	0.988
5	NaN	1.363	0.553	0.549	0.545	0.546	42.136	0.54	0.988
6	NaN	1.36	0.555	0.552	0.555	0.56	42.185	0.554	0.988
7	NaN	1.356	0.557	0.552	0.555	0.558	42.167	0.555	0.988
8	NaN	1.352	0.558	0.552	0.554	0.556	42.066	0.552	0.987
9	NaN	1.347	0.561	0.556	0.564	0.57	42.09	0.564	0.987
10	NaN	1.338	0.56	0.557	0.56	0.566	42.049	0.558	0.985
11	NaN	1.333	0.562	0.559	0.567	0.573	42.072	0.566	0.983
12	NaN	1.319	0.571	0.567	0.577	0.585	42.105	0.577	0.98
13	NaN	1.286	0.588	0.585	0.52	0.524	42.029	0.517	0.982
14	NaN	1.237	0.603	0.6	0.621	0.634	42.179	0.625	0.975
15	NaN	1.172	0.63	0.629	0.628	0.641	42.11	0.63	0.969
16	NaN	1.114	0.651	0.652	0.652	0.668	42.162	0.657	0.965
17	NaN	1.053	0.671	0.672	0.643	0.662	42.224	0.64	0.966
18	NaN	0.983	0.694	0.696	0.674	0.693	42.305	0.676	0.966
19	NaN	0.926	0.709	0.711	0.682	0.708	42.194	0.688	0.962
20	NaN	0.879	0.735	0.738	0.733	0.758	42.209	0.741	0.962
21	NaN	0.826	0.751	0.754	0.757	0.782	42.185	0.764	0.962
22	NaN	0.777	0.771	0.777	0.782	0.819	42.25	0.803	0.963
23	NaN	0.701	0.799	0.806	0.772	0.816	42.203	0.79	0.961
24	NaN	0.656	0.813	0.822	0.812	0.851	42.237	0.827	0.959
25	NaN	0.595	0.839	0.849	0.804	0.847	42.257	0.816	0.961
26	NaN	0.541	0.857	0.867	0.853	0.897	42.247	0.874	0.96
27	NaN	0.513	0.87	0.88	0.864	0.908	42.239	0.883	0.955
28	NaN	0.436	0.893	0.906	0.855	0.897	42.247	0.852	0.959
29	NaN	0.393	0.904	0.918	0.892	0.918	42.207	0.875	0.957
30	NaN	0.342	0.925	0.938	0.91	0.949	42.247	0.917	0.955
31	NaN	0.316	0.933	0.949	0.926	0.975	42.208	0.948	0.958
32	NaN	0.281	0.945	0.962	0.887	0.929	42.263	0.878	0.963
33	NaN	0.276	0.944	0.962	0.927	0.973	42.244	0.937	0.955
34	NaN	0.229	0.955	0.972	0.94	0.981	42.253	0.949	0.955
35	NaN	0.206	0.959	0.975	0.907	0.946	42.29	0.897	0.957
36	NaN	0.206	0.957	0.974	0.926	0.967	42.24	0.922	0.956
37	NaN	0.199	0.959	0.975	0.948	0.978	42.239	0.945	0.957
38	NaN	0.188	0.962	0.977	0.85	0.878	42.292	0.814	0.97
39	NaN	0.185	0.961	0.977	0.939	0.984	42.287	0.955	0.955
40	NaN	0.184	0.961	0.977	0.946	0.985	42.267	0.957	0.957
41	NaN	0.169	0.964	0.979	0.939	0.976	42.264	0.937	0.953
42	NaN	0.157	0.966	0.982	0.957	0.988	42.267	0.96	0.955
43	NaN	0.147	0.97	0.984	0.939	0.976	42.297	0.943	0.953
44	NaN	0.154	0.966	0.981	0.947	0.984	42.275	0.958	0.956
45	NaN	0.143	0.969	0.983	0.944	0.982	42.309	0.951	0.954
46	NaN	0.153	0.967	0.982	0.924	0.964	42.274	0.913	0.954
47	NaN	0.144	0.968	0.984	0.959	0.991	42.278	0.972	0.954
48	NaN	0.148	0.967	0.983	0.951	0.987	42.256	0.96	0.956
49	NaN	0.146	0.966	0.982	0.953	0.983	42.292	0.952	0.953
50	NaN	0.154	0.964	0.98	0.793	0.818	42.467	0.77	0.976
51	NaN	0.201	0.955	0.972	0.962	0.989	42.27	0.966	0.956
52	NaN	0.141	0.967	0.983	0.963	0.989	42.289	0.964	0.954
53	NaN	0.147	0.965	0.983	0.916	0.951	42.241	0.9	0.957
54	NaN	0.128	0.97	0.986	0.943	0.978	42.275	0.942	0.953
55	NaN	0.131	0.969	0.985	0.963	0.992	42.259	0.97	0.952
56	NaN	0.135	0.969	0.984	0.961	0.987	42.281	0.965	0.954
57	NaN	0.122	0.973	0.987	0.958	0.993	42.277	0.975	0.952
58	NaN	0.12	0.972	0.986	0.953	0.991	42.266	0.966	0.951
