epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	-0.779	1.38	0.537	0.534	0.526	0.525	42.752	0.521	0.989
2	-0.682	1.379	0.543	0.541	0.532	0.534	42.772	0.53	0.99
3	-0.705	1.379	0.541	0.538	0.546	0.547	42.571	0.544	0.989
4	-0.699	1.375	0.549	0.544	0.542	0.543	42.452	0.54	0.989
5	-0.706	1.37	0.55	0.544	0.538	0.541	42.288	0.535	0.989
6	-0.741	1.366	0.553	0.547	0.561	0.564	42.338	0.559	0.988
7	-0.747	1.373	0.544	0.539	0.542	0.543	42.307	0.538	0.988
8	-0.736	1.357	0.552	0.547	0.545	0.551	42.15	0.545	0.988
9	-0.783	1.351	0.559	0.552	0.565	0.57	42.122	0.564	0.985
10	-0.788	1.349	0.561	0.552	0.566	0.57	42.185	0.565	0.986
11	-0.799	1.345	0.562	0.554	0.555	0.558	42.067	0.553	0.985
12	-0.822	1.356	0.548	0.543	0.567	0.574	42.081	0.566	0.985
13	-0.842	1.36	0.551	0.546	0.557	0.563	42.336	0.553	0.987
14	-0.787	1.362	0.548	0.543	0.545	0.552	42.127	0.547	0.988
15	-0.818	1.369	0.55	0.544	0.568	0.575	42.245	0.567	0.986
16	-0.755	1.348	0.558	0.552	0.564	0.574	42.245	0.568	0.987
17	-0.803	1.334	0.572	0.561	0.56	0.573	42.106	0.563	0.986
18	-0.841	1.34	0.565	0.556	0.584	0.598	42.264	0.59	0.986
19	-0.893	1.332	0.573	0.564	0.573	0.589	42.121	0.58	0.985
20	-0.863	1.331	0.57	0.561	0.593	0.606	42.373	0.598	0.987
21	-0.89	1.31	0.583	0.572	0.601	0.615	42.135	0.607	0.984
22	-0.86	1.292	0.588	0.575	0.6	0.611	42.092	0.602	0.981
23	-0.878	1.261	0.594	0.582	0.56	0.567	42.181	0.554	0.974
24	-1.067	1.227	0.607	0.595	0.62	0.629	42.129	0.619	0.972
25	-1.195	1.204	0.627	0.609	0.65	0.66	42.054	0.649	0.976
26	-1.217	1.168	0.645	0.629	0.644	0.66	42.045	0.645	0.976
27	-1.377	1.133	0.663	0.643	0.678	0.691	42.059	0.681	0.973
28	-1.347	1.1	0.674	0.655	0.623	0.636	42.039	0.608	0.973
29	-1.54	1.091	0.685	0.663	0.672	0.689	42.06	0.661	0.971
30	-1.541	1.057	0.702	0.681	0.756	0.77	42.113	0.753	0.971
31	-1.63	1.031	0.716	0.692	0.711	0.73	42.063	0.702	0.968
32	-1.732	0.985	0.737	0.714	0.784	0.804	42.048	0.785	0.967
33	-1.79	0.95	0.754	0.729	0.741	0.761	42.06	0.726	0.968
34	-1.926	0.958	0.756	0.728	0.792	0.81	42.065	0.782	0.966
35	-1.88	0.896	0.775	0.753	0.818	0.837	42.076	0.817	0.967
36	-2.092	0.891	0.781	0.754	0.845	0.862	42.056	0.844	0.966
37	-2.123	0.857	0.794	0.765	0.828	0.842	42.067	0.821	0.966
38	-2.102	0.849	0.795	0.767	0.831	0.852	42.067	0.817	0.966
39	-2.297	0.829	0.804	0.776	0.872	0.89	42.061	0.868	0.968
40	-2.417	0.814	0.813	0.786	0.859	0.877	42.053	0.844	0.963
41	-2.483	0.753	0.834	0.809	0.911	0.927	42.039	0.905	0.961
42	-2.798	0.788	0.824	0.794	0.902	0.924	42.055	0.902	0.964
43	-2.93	0.753	0.842	0.817	0.901	0.916	41.997	0.889	0.97
44	-3.064	0.74	0.842	0.812	0.914	0.929	42.003	0.905	0.969
45	-3.355	0.748	0.836	0.806	0.905	0.918	42.007	0.889	0.967
46	-3.08	0.718	0.846	0.818	0.94	0.956	42.01	0.936	0.962
47	-3.629	0.703	0.852	0.824	0.95	0.96	42.03	0.94	0.965
48	-3.466	0.718	0.846	0.819	0.923	0.937	42.041	0.908	0.964
49	-3.487	0.678	0.862	0.83	0.941	0.953	42.043	0.922	0.961
50	-3.892	0.683	0.858	0.836	0.961	0.971	42.039	0.948	0.964
51	-3.849	0.703	0.845	0.822	0.95	0.968	42.026	0.945	0.965
52	-3.409	0.65	0.87	0.844	0.97	0.983	42.042	0.966	0.965
53	-4.113	0.64	0.875	0.847	0.97	0.98	42.017	0.961	0.961
54	-4.314	0.66	0.861	0.837	0.96	0.97	41.997	0.947	0.961
55	-4.041	0.654	0.857	0.834	0.963	0.978	42.003	0.955	0.961
56	-4.408	0.679	0.856	0.834	0.971	0.98	42.024	0.964	0.961
57	-4.478	0.614	0.873	0.848	0.956	0.966	42.024	0.947	0.965
58	-4.306	0.61	0.878	0.852	0.972	0.984	41.994	0.967	0.961
59	-4.625	0.638	0.876	0.849	0.977	0.987	41.997	0.972	0.961
60	-4.809	0.643	0.863	0.836	0.98	0.988	41.988	0.973	0.961
61	-4.842	0.592	0.879	0.859	0.972	0.981	41.984	0.963	0.961
62	-5.045	0.689	0.851	0.827	0.964	0.975	41.999	0.957	0.96
63	-4.816	0.656	0.872	0.848	0.96	0.971	41.992	0.947	0.96
64	-4.704	0.58	0.885	0.864	0.977	0.984	42.003	0.968	0.961
65	-4.993	0.615	0.875	0.85	0.96	0.971	41.997	0.942	0.958
66	-5.489	0.581	0.89	0.868	0.982	0.988	41.994	0.973	0.962
67	-5.332	0.583	0.878	0.861	0.978	0.986	41.988	0.968	0.959
68	-5.779	0.622	0.866	0.847	0.974	0.983	42.003	0.961	0.96
69	-5.491	0.595	0.876	0.855	0.976	0.984	41.986	0.966	0.96
70	-5.475	0.608	0.874	0.851	0.969	0.98	42.012	0.959	0.959
71	-4.608	0.591	0.876	0.857	0.97	0.979	42.01	0.962	0.962
72	-5.206	0.624	0.866	0.846	0.98	0.986	42.0	0.97	0.958
73	-5.638	0.651	0.858	0.839	0.972	0.98	42.013	0.962	0.956
74	-4.987	0.673	0.842	0.824	0.985	0.99	41.994	0.977	0.958
75	-5.07	0.571	0.884	0.866	0.981	0.985	42.007	0.971	0.958
76	-5.1	0.597	0.863	0.846	0.974	0.981	41.999	0.961	0.961
77	-5.257	0.578	0.877	0.86	0.96	0.973	41.994	0.954	0.96
78	-5.941	0.633	0.864	0.849	0.988	0.992	42.004	0.981	0.956
79	-5.387	0.635	0.862	0.839	0.984	0.99	41.993	0.973	0.959
80	-5.197	0.604	0.871	0.853	0.978	0.986	42.011	0.969	0.957
81	-5.208	0.568	0.894	0.874	0.967	0.975	41.993	0.954	0.964
82	-5.304	0.574	0.886	0.864	0.977	0.986	41.996	0.97	0.956
83	-6.137	0.587	0.884	0.864	0.983	0.99	41.993	0.977	0.958
84	-5.844	0.577	0.886	0.868	0.985	0.99	42.008	0.977	0.956
85	-5.169	0.552	0.882	0.868	0.983	0.989	41.997	0.976	0.958
86	-5.372	0.559	0.888	0.868	0.984	0.991	41.984	0.977	0.957
87	-5.825	0.568	0.89	0.867	0.985	0.992	41.983	0.978	0.957
88	-5.799	0.559	0.888	0.874	0.981	0.987	41.982	0.97	0.959
89	-5.282	0.55	0.889	0.872	0.988	0.994	41.991	0.982	0.956
90	-5.157	0.575	0.88	0.865	0.982	0.988	41.983	0.971	0.957
91	-5.544	0.572	0.879	0.865	0.978	0.986	41.99	0.969	0.955
92	-5.474	0.562	0.876	0.862	0.987	0.992	41.994	0.981	0.955
93	-6.073	0.579	0.885	0.864	0.97	0.979	41.983	0.96	0.959
94	-5.227	0.556	0.886	0.867	0.987	0.992	41.99	0.979	0.956
95	-5.955	0.606	0.875	0.851	0.959	0.969	42.008	0.948	0.959
