epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	-0.694	1.442	0.528	0.524	0.536	0.537	42.415	0.528	0.99
2	-0.702	1.417	0.54	0.535	0.546	0.545	42.468	0.541	0.99
3	-0.703	1.366	0.537	0.534	0.524	0.522	43.476	0.522	0.991
4	-0.707	1.399	0.541	0.538	0.549	0.55	42.642	0.547	0.99
5	-0.724	1.387	0.543	0.539	0.525	0.526	42.576	0.523	0.989
6	-0.729	1.368	0.544	0.539	0.534	0.535	42.533	0.531	0.989
7	-0.71	1.351	0.544	0.539	0.557	0.561	42.611	0.557	0.989
8	-0.727	1.344	0.556	0.55	0.555	0.557	42.436	0.553	0.988
9	-0.737	1.364	0.558	0.552	0.559	0.563	42.772	0.559	0.989
10	-0.737	1.405	0.554	0.547	0.554	0.558	42.422	0.552	0.988
11	-0.772	1.384	0.557	0.55	0.562	0.567	42.608	0.562	0.989
12	-0.721	1.362	0.557	0.55	0.526	0.528	42.53	0.525	0.988
13	-0.736	1.371	0.559	0.552	0.547	0.552	42.438	0.547	0.988
14	-0.76	1.375	0.56	0.552	0.564	0.572	42.368	0.566	0.988
15	-0.768	1.376	0.563	0.554	0.572	0.576	42.438	0.572	0.988
16	-0.775	1.374	0.565	0.557	0.562	0.571	42.296	0.565	0.988
17	-0.771	1.371	0.565	0.556	0.571	0.579	42.467	0.574	0.988
18	-0.782	1.356	0.567	0.559	0.532	0.533	42.565	0.527	0.988
19	-0.757	1.35	0.57	0.559	0.575	0.585	42.692	0.579	0.988
20	-0.774	1.362	0.572	0.564	0.568	0.576	42.451	0.572	0.987
21	-0.788	1.36	0.573	0.563	0.576	0.585	42.596	0.576	0.987
22	-0.777	1.382	0.572	0.562	0.576	0.582	42.347	0.576	0.987
23	-0.782	1.374	0.575	0.565	0.572	0.58	42.236	0.573	0.987
24	-0.787	1.369	0.574	0.564	0.565	0.572	42.503	0.566	0.987
25	-0.795	1.365	0.58	0.569	0.588	0.597	42.344	0.588	0.987
26	-0.794	1.365	0.573	0.563	0.586	0.594	42.63	0.588	0.987
27	-0.794	1.35	0.572	0.565	0.552	0.559	42.713	0.553	0.988
28	-0.798	1.353	0.575	0.564	0.588	0.597	42.772	0.59	0.987
29	-0.81	1.351	0.575	0.566	0.585	0.595	42.797	0.59	0.988
30	-0.809	1.334	0.575	0.566	0.568	0.573	42.562	0.564	0.987
31	-0.806	1.328	0.576	0.567	0.585	0.597	42.465	0.589	0.987
32	-0.815	1.319	0.575	0.566	0.581	0.59	42.858	0.584	0.987
33	-0.797	1.317	0.572	0.563	0.585	0.594	42.692	0.587	0.987
34	-0.795	1.312	0.578	0.569	0.572	0.58	42.581	0.575	0.987
35	-0.795	1.316	0.578	0.571	0.573	0.58	42.27	0.571	0.986
36	-0.797	1.318	0.577	0.568	0.587	0.597	42.356	0.591	0.986
37	-0.798	1.322	0.577	0.567	0.57	0.579	42.327	0.572	0.986
38	-0.795	1.324	0.575	0.566	0.587	0.596	42.422	0.588	0.986
39	-0.802	1.325	0.579	0.569	0.585	0.592	42.526	0.587	0.987
40	-0.806	1.328	0.579	0.571	0.593	0.6	42.411	0.592	0.987
41	-0.807	1.33	0.579	0.569	0.543	0.548	42.219	0.542	0.986
42	-0.805	1.33	0.578	0.569	0.567	0.572	42.477	0.566	0.986
43	-0.809	1.331	0.582	0.573	0.558	0.565	42.396	0.559	0.987
