epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	NaN	1.385	0.522	0.516	0.527	0.529	48.129	0.523	0.996
2	NaN	1.383	0.532	0.523	0.523	0.523	48.103	0.519	0.996
3	NaN	1.383	0.531	0.525	0.535	0.536	48.129	0.528	0.996
4	NaN	1.383	0.533	0.524	0.526	0.526	48.06	0.522	0.996
5	NaN	1.382	0.534	0.526	0.534	0.535	48.07	0.529	0.996
6	NaN	1.382	0.536	0.527	0.539	0.542	48.062	0.538	0.996
7	NaN	1.378	0.537	0.528	0.541	0.544	48.125	0.537	0.996
8	NaN	1.375	0.539	0.53	0.528	0.527	48.135	0.52	0.996
9	NaN	1.374	0.539	0.53	0.543	0.546	48.154	0.542	0.996
10	NaN	1.372	0.541	0.532	0.532	0.534	48.097	0.527	0.996
11	NaN	1.372	0.541	0.531	0.54	0.542	48.167	0.536	0.996
12	NaN	1.368	0.544	0.533	0.528	0.53	48.036	0.525	0.996
13	NaN	1.364	0.543	0.533	0.526	0.528	48.098	0.522	0.995
14	NaN	1.344	0.549	0.539	0.552	0.553	48.19	0.546	0.992
15	NaN	1.315	0.555	0.546	0.557	0.559	48.236	0.549	0.991
16	NaN	1.294	0.563	0.554	0.51	0.513	48.248	0.503	0.992
17	NaN	1.274	0.578	0.567	0.535	0.539	48.149	0.522	0.992
18	NaN	1.261	0.586	0.576	0.55	0.553	48.15	0.537	0.991
19	NaN	1.233	0.597	0.584	0.6	0.604	48.144	0.587	0.991
20	NaN	1.201	0.614	0.6	0.598	0.603	48.147	0.584	0.992
21	NaN	1.178	0.627	0.613	0.581	0.586	48.151	0.556	0.99
22	NaN	1.145	0.65	0.633	0.664	0.672	48.267	0.641	0.99
23	NaN	1.107	0.674	0.653	0.664	0.673	48.205	0.632	0.99
24	NaN	1.065	0.703	0.679	0.708	0.723	48.137	0.673	0.989
25	NaN	1.0	0.729	0.707	0.726	0.734	48.156	0.699	0.992
26	NaN	0.965	0.741	0.721	0.757	0.766	48.172	0.725	0.99
27	NaN	0.925	0.758	0.739	0.774	0.785	48.181	0.738	0.989
28	NaN	0.871	0.784	0.758	0.8	0.811	48.159	0.764	0.99
29	NaN	0.841	0.798	0.773	0.756	0.764	48.253	0.708	0.989
30	NaN	0.81	0.813	0.79	0.842	0.858	48.183	0.806	0.988
31	NaN	0.772	0.828	0.805	0.823	0.835	48.274	0.762	0.989
32	NaN	0.735	0.839	0.816	0.816	0.829	48.385	0.762	0.99
33	NaN	0.708	0.847	0.826	0.867	0.88	48.183	0.829	0.989
34	NaN	0.678	0.86	0.837	0.867	0.886	48.188	0.816	0.989
35	NaN	0.637	0.874	0.858	0.881	0.888	48.303	0.831	0.989
36	NaN	0.611	0.88	0.866	0.851	0.858	48.274	0.774	0.989
37	NaN	0.622	0.884	0.863	0.891	0.907	48.207	0.843	0.989
38	NaN	0.557	0.899	0.884	0.857	0.873	48.267	0.803	0.988
39	NaN	0.555	0.898	0.882	0.841	0.852	48.254	0.761	0.988
40	NaN	0.536	0.901	0.891	0.938	0.947	48.249	0.883	0.987
41	NaN	0.5	0.91	0.903	0.929	0.937	48.203	0.869	0.988
42	NaN	0.507	0.911	0.897	0.875	0.89	48.269	0.813	0.989
43	NaN	0.497	0.91	0.902	0.882	0.892	48.254	0.803	0.988
44	NaN	0.492	0.912	0.901	0.857	0.863	48.24	0.777	0.987
45	NaN	0.465	0.918	0.906	0.947	0.954	48.257	0.889	0.988
46	NaN	0.451	0.919	0.912	0.932	0.94	48.356	0.876	0.988
47	NaN	0.451	0.915	0.911	0.935	0.944	48.211	0.874	0.987
48	NaN	0.431	0.922	0.913	0.92	0.931	48.234	0.852	0.987
49	NaN	0.44	0.919	0.909	0.93	0.935	48.258	0.862	0.987
