epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	-0.0	1.373	0.528	0.524	0.539	0.541	42.47	0.533	0.99
2	-0.003	1.361	0.54	0.535	0.551	0.551	42.362	0.548	0.99
3	-0.025	1.311	0.539	0.535	0.551	0.552	42.711	0.549	0.99
4	-0.001	1.271	0.538	0.534	0.552	0.555	42.978	0.551	0.99
5	0.011	1.277	0.552	0.546	0.542	0.545	42.779	0.542	0.989
6	0.004	1.297	0.556	0.549	0.553	0.556	42.533	0.552	0.989
7	-0.001	1.308	0.554	0.547	0.556	0.558	42.431	0.554	0.989
8	-0.005	1.308	0.558	0.553	0.549	0.553	42.479	0.548	0.988
9	-0.002	1.301	0.559	0.552	0.554	0.557	42.62	0.552	0.989
10	-0.004	1.285	0.558	0.55	0.564	0.569	42.336	0.564	0.988
11	-0.013	1.267	0.559	0.552	0.529	0.529	42.579	0.524	0.989
12	-0.004	1.25	0.562	0.555	0.541	0.547	42.301	0.542	0.988
13	-0.008	1.23	0.563	0.554	0.547	0.548	42.477	0.543	0.988
14	-0.0	1.243	0.561	0.554	0.561	0.567	42.346	0.56	0.988
15	-0.013	1.25	0.561	0.552	0.572	0.579	42.518	0.572	0.988
16	0.004	1.246	0.569	0.56	0.562	0.569	42.353	0.565	0.988
17	-0.0	1.237	0.566	0.557	0.578	0.584	42.396	0.578	0.988
18	0.0	1.226	0.571	0.561	0.566	0.571	42.371	0.564	0.987
19	0.001	1.227	0.569	0.56	0.574	0.583	42.361	0.577	0.988
20	0.0	1.215	0.571	0.562	0.577	0.584	42.427	0.575	0.988
21	-0.0	1.206	0.572	0.562	0.58	0.59	42.419	0.583	0.988
22	0.0	1.195	0.572	0.561	0.573	0.579	42.479	0.575	0.988
23	-0.001	1.186	0.573	0.564	0.562	0.57	42.302	0.565	0.988
24	-0.001	1.179	0.572	0.562	0.579	0.589	42.5	0.583	0.987
25	-0.0	1.17	0.578	0.567	0.582	0.591	42.499	0.584	0.988
26	-0.003	1.164	0.574	0.565	0.566	0.575	42.396	0.568	0.987
27	-0.001	1.157	0.574	0.564	0.584	0.593	42.54	0.586	0.988
28	-0.002	1.156	0.576	0.565	0.565	0.576	42.355	0.569	0.987
29	0.0	1.175	0.579	0.568	0.582	0.589	42.543	0.581	0.988
30	-0.008	1.155	0.577	0.568	0.582	0.588	42.341	0.58	0.987
31	0.003	1.132	0.578	0.568	0.579	0.591	42.321	0.584	0.987
32	-0.004	1.14	0.576	0.567	0.593	0.602	42.468	0.596	0.986
